doi,issued,fname1,lname1,orcid1,affiliation1,org1,city1,region1,country1,fname2,lname2,orcid2,affiliation2,org2,city2,region2,country2,unique_place_id,lat2,lng2
10.1039/d2cs00344a,2022-01-01,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Stephen J.,Geier,/0000-0001-5265-2615,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d2cs00344a,2022-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Christopher M.,Vogels,,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d2cs00344a,2022-01-01,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Christopher M.,Vogels,,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d2cs00344a,2022-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Jennifer A.,Melanson,/0000-0002-7491-3705,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d2cs00344a,2022-01-01,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Jennifer A.,Melanson,/0000-0002-7491-3705,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d2cs00344a,2022-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen A.,Westcott,/0000-0002-5324-2295,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d2cs00344a,2022-01-01,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Stephen A.,Westcott,/0000-0002-5324-2295,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d1nj01025e,2021-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen J.,Geier,/0000-0001-5265-2615,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d1nj01025e,2021-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Justin F.,Binder,/0000-0002-0213-3531,"Department of Chemistry and Biochemistry, University of Windsor, Windsor, ON N9B 3P4, Canada",,,,,  ,,
10.1039/d1nj01025e,2021-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Christopher M.,Vogels,,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.1039/d1nj01025e,2021-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Lara K.,Watanabe,/0000-0002-0327-5611,"Department of Chemistry and Biochemistry, University of Windsor, Windsor, ON N9B 3P4, Canada",,,,,  ,,
10.1039/d1nj01025e,2021-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Charles L. B.,Macdonald,/0000-0002-0574-1524,,,,,,  ,,
10.1039/d1nj01025e,2021-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen A.,Westcott,/0000-0002-5324-2295,"Department of Chemistry and Biochemistry, Mount Allison University, Sackville, NB E4L 1G8, Canada",,,,,  ,,
10.21577/0103-5053.20200040,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Patrick,Gormley,,,,,,,  ,,
10.21577/0103-5053.20200040,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Christopher,Vogels,,,,,,,  ,,
10.21577/0103-5053.20200040,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,B. Ninh,Khuong,,,,,,,  ,,
10.21577/0103-5053.20200040,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Tyson,MacCormack,,,,,,,  ,,
10.21577/0103-5053.20200040,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Jason,Masuda,,,,,,,  ,,
10.21577/0103-5053.20200040,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen,Westcott,/0000-0002-5324-2295,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Maia C.,Murphy,/0000-0002-7193-4770,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Alina,Trofimova,,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,James H. W.,LaFortune,/0000-0003-4217-1038,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Christopher M.,Vogels,,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen J.,Geier,,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Justin F.,Binder,,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Charles L. B.,Macdonald,/0000-0002-0574-1524,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Douglas W.,Stephan,,,,,,,  ,,
10.1039/d0dt00579g,2020-01-01,Stephen,Geier,0000-0001-5265-2615,Chemistry and Biochemistry,Mount Allison University,Sackville,New Brunswick,CA,Stephen A.,Westcott,/0000-0002-5324-2295,,,,,,  ,,
10.1371/journal.pone.0315742,2025-01-30,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Miranda E.,Corkum,/0009-0009-8883-9567,,,,,,  ,,
10.1371/journal.pone.0315742,2025-01-30,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Douglas A.,Campbell,/0000-0001-8996-5463,,,,,,  ,,
10.1002/lno.12750,2024-12-03,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Sylwia,Śliwińska‐Wilczewska,/0000-0002-3147-6605,,,,,,  ,,
10.1002/lno.12750,2024-12-03,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Marta,Konik,,,,,,,  ,,
10.1002/lno.12750,2024-12-03,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Mireille,Savoie,0009-0009-9499-6657,Department of Biology Mount Allison University  Sackville New Brunswick Canada,Mount Allison University,Sackville,New Brunswick,CA,Sackville New Brunswick CA,46.00015,-64.38205
10.1002/lno.12750,2024-12-03,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Anabella,Aguilera,,"Department of Biology and Environmental Science, Centre for Ecology and Evolution in Microbial Model Systems Linnaeus University  Kalmar Sweden",,,,,  ,,
10.1002/lno.12750,2024-12-03,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Douglas A.,Campbell,,Department of Biology Mount Allison University  Sackville New Brunswick Canada,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Mireille,Savoie,/0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Sackville New Brunswick CA,46.00015,-64.38205
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Aurora,Mattison,/0000-0001-5688-5109,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Aurora,Mattison,/0000-0001-5688-5109,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Laurel,Genge,,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Laurel,Genge,,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Julie,Nadeau,0009-0009-8123-6237,,Mount Allison University,Sackville,New Brunswick,CA,Sackville New Brunswick CA,46.00015,-64.38205
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Julie,Nadeau,0009-0009-8123-6237,,Mount Allison University,Sackville,New Brunswick,CA,Sackville New Brunswick CA,46.00015,-64.38205
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Sylwia,Śliwińska-Wilczewska,/0000-0002-3147-6605,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Sylwia,Śliwińska-Wilczewska,/0000-0002-3147-6605,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Maximilian,Berthold,,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Maximilian,Berthold,,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Naaman M.,Omar,0000-0001-9583-2886,,Mount Allison University,Sackville,New Brunswick,CA,Sackville New Brunswick CA,46.00015,-64.38205
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Ondřej,Prášil,,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Ondřej,Prášil,,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Amanda M.,Cockshutt,,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Amanda M.,Cockshutt,,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Douglas A.,Campbell,/0000-0001-8996-5463,,,,,,  ,,
10.1371/journal.pone.0307549,2024-07-22,Mireille,Savoie,0009-0009-9499-6657,,Mount Allison University,Sackville,New Brunswick,CA,Douglas A.,Campbell,/0000-0001-8996-5463,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Lisa R.,Moore,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Ron,Caspi,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Douglas A.,Campbell,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,John R.,Casey,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Sophie,Crevecoeur,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,David J.,Lea-Smith,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Bin,Long,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Suzanne M.,Paley,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Nicolas M.,Schmelling,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Alejandro,Torrado,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Jonathan P.,Zehr,,,,,,,  ,,
10.3389/fmicb.2024.1340413,2024-01-31,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Peter D.,Karp,,,,,,,  ,,
10.1128/mra.00460-23,2023-12-14,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Maximilian,Berthold,/0000-0003-1985-6426,"Department of Biology, Mount Allison University, Sackville, Canada",,,,,  ,,
10.1128/mra.00460-23,2023-12-14,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Martin,Albrecht,,"Institute of Biological Sciences, University of Rostock, Rostock, Germany",,,,,  ,,
10.1128/mra.00460-23,2023-12-14,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Douglas A.,Campbell,,"Department of Biology, Mount Allison University, Sackville, Canada",,,,,  ,,
10.1371/journal.pone.0284580,2023-04-25,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Katherine,Fleury,/0000-0003-1135-9759,,,,,,  ,,
10.1371/journal.pone.0284580,2023-04-25,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Brian,Beardsall,,,,,,,  ,,
10.1371/journal.pone.0284580,2023-04-25,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Ondřej,Prášil,/0000-0002-0012-4359,,,,,,  ,,
10.1371/journal.pone.0284580,2023-04-25,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Douglas A.,Campbell,/0000-0001-8996-5463,,,,,,  ,,
10.3390/microorganisms10040821,2022-04-15,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Ondřej,Prášil,/0000-0002-0012-4359,"Center Algatech, Laboratory of Photosynthesis, Novohradska 237, CZ 37981 Trebon, Czech Republic",,,,,  ,,
10.3390/microorganisms10040821,2022-04-15,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,J. Scott P.,McCain,,"Department of Biology, Massachusetts Institute of Technology, Boston, MA 02142, USA",,,,,  ,,
10.3390/microorganisms10040821,2022-04-15,Naaman M,Omar,0000-0001-9583-2886,Department of Biology,Mount Allison University,Sackville,New Brunswick,CA,Douglas A.,Campbell,/0000-0001-8996-5463,"Department of Biology, Mount Allison University, Sackville, NB E4L1G7, Canada",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Heidi,Atto,,"Mount Allison University, Chemistry and Biochemistry, Sackville, New Brunswick, Canada;",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Glen G.,Briand,,"Mount Allison University, Chemistry and Biochemistry, Moncton, New Brunswick, Canada, ;",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Tanner,George,,"Saint Mary's University Faculty of Science, Chemistry, Halifax, Nova Scotia, Canada;",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Viveka K.,Kulkarni,,"Mount Allison University, Chemistry and Biochemistry, Sackville, New Brunswick, Canada;",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,John S.,Lee,,"Mount Allison University, Chemistry and Biochemistry, Sackville, New Brunswick, Canada;",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Jason Douglas,Masuda,,"Saint Mary's University, Department of Chemistry, Halifax, Nova Scotia, Canada;",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Brian J,MacLean,,"St. Francis Xavier University, Antigonish, Nova Scotia, Canada, ;",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Jennifer A.,Melanson,,"Mount Allison University, Chemistry and Biochemistry, Sackville, New Brunswick, Canada;",,,,,  ,,
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Gregory M.,Sandala,0000-0002-8966-2515,"Mount Allison University, Chemistry and Biochemistry, Sackville, New Brunswick, Canada;",Mount Allison University,Sackville,NB,CA,Sackville NB CA,46.00015,-64.38205
10.1139/cjc-2024-0249,2025-03-24,Jennifer,Melanson,0000-0002-7491-3705,CHEMISTRY AND BIOCHEMISTRY,Mount Allison University,Sackville,New Brunswick,CA,Padmapriya,Srinivasan,,"Mount Allison University, Chemistry and Biochemistry, Sackville, New Brunswick, Canada;",,,,,  ,,
